ID,City,State
451,Raleigh,NC
445,Nashville,TN
442,Norfolk,VA
438,Hampton,VA
420,Murfreesboro,TN
418,Charlotte,NC
413,Portsmouth,VA
410,Newport News,VA
405,Virginia Beach,VA
404,Alexandria,VA
401,Lexington,KY
398,High Point,NC
396,Greensboro,NC
389,Durham,NC
378,Montgomery,AL
366,Columbus,GA
358,Chesapeake,VA
356,Fayetteville,NC
353,Elizabethtown,KY
351,North Charleston,SC
337,Rock Hill,SC
330,Louisville,KY
328,Clarksville,TN
326,Goose Creek,SC
312,Savannah,GA
306,Huntsville,AL
303,Summerville,SC
287,Chattanooga,TN
285,Roanoke,VA
284,Sumter,SC
282,Augusta,GA
281,Richmond,VA
275,Columbia,SC
274,Sandy Springs,GA
268,Bowling Green,KY
266,Charleston,SC
252,Athens,GA
249,Wilmington,NC
245,Covington,KY
238,Winston-Salem,NC
236,Knoxville,TN
230,Decatur,AL
229,Roswell,GA
208,Hopkinsville,KY
193,Greenville,SC
189,Bartlett,TN
188,Atlanta,GA
185,Arlington,VA
184,Memphis,TN
168,Cary,NC
165,Dothan,AL
159,Hilton Head Island,SC
156,Owensboro,KY
145,Mobile,AL
140,Hoover,AL
138,Macon,GA
127,Albany,GA
123,Johns Creek,GA
108,Madison,AL
104,Tuscaloosa,AL
98,Jackson,TN
97,Johnson City,TN
89,Florence,KY
83,Franklin,TN
70,Auburn,AL
52,Mount Pleasant,SC
50,Birmingham,AL
46,Richmond,KY
38,Georgetown,KY
36,Greenville,NC
